Date,AAPL, AMZN,DAL,GE,JNJ,MSFT,MNST,PYPL,SHOP,UPS,SPY
2021-04-09,36.02,80.73,0,23.86,29.26,38.13,36.09,75.36,481.29,107.94,42.03  
2020-12-31,35.88,77.97,0,18.93,28.39,33.07,35.03,66.16,443.9,102.66,39.9
2020-09-30,35.41,92.2,0,17.28,23.1,33.81,35.96,74.35,651.57,31.28,34.24
2020-06-30,27.6,106.07,0,0,20.16,35.13,32.54,79.92,0,21.69,31.24
2020-03-31,19.79,93.15,5.29,0,16.89,26.02,27.18,60.59,0,18.37,22.22
2019-12-31,22.96,80.31,7.93,0,20.81,27.12,31.31,52.26,0,22.02,23.16
2019-09-30,18.65,76.88,8,0,19.42,25.76,29.18,48.63,0,19.88,22.4
2019-06-30,16.59,78.57,8.3,0,22.19,26,33.24,54.5,0,17.86,21.75
2019-03-31,15.65,74.35,8.44,0,24.7,25.69,29.19,56.13,0,19.98,21.09
2018-12-31,12.65,74.61,8.55,0,21.8,23,27.81,49.18,0,16.44,18.94
2018-09-30,18.48,112.28,11.22,0,260.26,46.12,34.49,51.07,0,17.18,22.35
2018-06-30,16.25,134.8,10.1,0,264.01,45.24,36.04,49.86,0,16.25,22.19
2018-03-31,15.62,182.28,10.63,0,313.19,48.88,38.14,48.32,0,16.23,22.88
2017-12-31,16.71,190.16,10.69,0,330.61,56.22,44.26,50.08,0,19.07,24.33
2017-09-30,16.04,244,9.08,27.87,20.7,24.19,40.04,49.64,0,26.29,23.53
2017-06-30,15.61,245.69,9.95,30.45,20.37,24.24,37.35,42.94,0,24.09,23.3
2017-03-31,15.96,166.64,7.92,27.54,18.95,27.52,37.23,36.46,0,24.07,23.56
2016-12-31,13.12,152.72,7.88,31.54,17.63,27.51,37.16,34.03,0,25.85,23.68
2016-09-30,12.86,191.6,5.86,22.97,18.68,25.82,43.83,35.94,0,16.87,24.34
2016-06-30,10.45,178.01,5.43,23.61,20.24,23.13,50.23,32.6,0,16.64,24.15
2016-03-31,11.27,244.3,7.47,37.23,17.34,40.33,37.47,0,0,16.41,23.83
2015-12-31,10.34,545.07,8.18,0,16.37,36.21,53.2,0,0,15.27,23.62
2015-09-30,11.01,741.55,11.56,0,15.5,26.92,47.42,0,0,19.09,21.18
2015-06-30,13.28,0,16.22,0,14.76,27.26,49.46,0,0,18.91,21.74
2015-03-31,14.04,0,28.97,0,15.4,15.11,61.24,0,0,23.51,20.84
2014-12-31,13.53,0,59.05,14.09,15.59,16.66,38.98,0,0,27.91,20.12
2014-09-30,14.19,0,2.82,15.16,14.9,16.07,36.67,0,0,19.91,18.61
2014-06-30,13.52,854.68,2.74,15.88,16.18,13.93,30.48,0,0,21.5,19.01
2014-03-31,11.49,533.91,2.47,16.1,15.61,13.39,32.45,0,0,17.39,18.57
2013-12-31,12.39,687.57,2,16.77,15.71,11.95,34.57,0,0,18.23,18.45
2013-09-30,10.65,1116.57,8.72,14.5,15.82,10.63,27.35,0,0,47.27,17.82
2013-06-30,8.71,0,8.11,13.76,15.51,11.34,32.88,0,0,79.55,17.66
2013-03-31,9.24,0,13.97,13.71,17.92,12.43,26.23,0,0,76.68,17.89
2012-12-31,10.49,0,8.86,12.82,14.53,12.27,28.4,0,0,71.86,16.49
2012-09-30,13.07,3633.14,4.84,14.08,18.03,13.41,29.7,0,0,16.43,16.66
2012-06-30,11.82,281.91,8.84,14.05,16.96,12.66,39.77,0,0,15.31,15.49
2012-03-31,12.59,167.36,5.76,12.75,14.15,9.65,37.62,0,0,15.89,15.91
2011-12-31,9.93,126.35,7.19,11,14.58,7.69,30.01,0,0,14.76,14.46
2011-09-30,11.87,113.81,12.81,8.77,11.91,7.34,30.1,0,0,11.51,13.01
2011-06-30,11.45,90.08,27.16,11.1,12.1,7.79,29.55,0,0,13.41,15.75
2011-03-31,14.31,77.98,13.82,12.39,10.12,8.1,23.81,0,0,14.38,16.31
2010-12-31,15.51,71.15,15.99,12.83,9.66,9.45,22.83,0,0,15.36,16.26
2010-09-30,16.13,63.59,15.91,13.05,9.42,8.35,20.01,0,0,15.64,15.88
2010-06-30,17.57,45.34,347.98,10.9,8.95,8.62,17.7,0,0,15.42,15.36
2010-03-31,19.9,59.55,0,14.27,9.96,11.89,20.46,0,0,20.4,19.19
2009-12-31,20.96,66.27,0,10.74,10.56,13.13,17.38,0,0,19.11,21.88
2009-09-30,21.26,54.92,0,10.82,9.51,12.97,26.62,0,0,24.36,84.3
2009-06-30,17.65,55.04,0,6.48,8.86,11.33,23.38,0,0,17.1,122.41
2009-03-31,13.33,46.78,0,4.58,8.1,8.1,29.27,0,0,13.91,116.31
2008-12-31,11.99,34.19,0,6.41,9.14,7.88,31.05,0,0,12.96,60.7
2008-09-30,18.27,49.84,0,8.39,10.85,10.57,16.9,0,0,195.13,25.38
2008-06-30,28.22,53.14,0,8.23,10.72,11.03,16.85,0,0,148.78,25.37
2008-03-31,25.59,59.42,0,11.18,11.05,12.32,22.2,0,0,104.63,23.88
2007-12-31,37.82,82.71,0,11.05,12.47,15.13,29.33,0,0,124.55,21.46
2007-09-30,34.06,107.07,0,12.35,12.48,14.45,43.94,0,0,12.88,20.68
2007-06-30,30.13,93.71,0,11.66,11.44,15.42,39.08,0,0,12.65,18.36
2007-03-31,25.65,67.44,0,11.01,11.43,14.85,38.26,0,0,12.3,17.48
2006-12-31,26.57,87.69,0,11.67,11.71,18.68,34.02,0,0,12.71,17.36
